target,RA_ICRS,e_RA,DE_ICRS,e_DE,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RV,e_RV,std_delta_ra,std_delta_de,std_delta_pmra,std_delta_pmde,cov_delta_ra_de,cov_delta_ra_pmra,cov_delta_ra_pmde,cov_delta_de_pmra,cov_delta_de_pmde,cov_delta_pmra_pmde,problem
HD157338,261.03646233844944,0.0454214949744247,-34.79921452149741,0.0385731002167572,30.18410770678465,0.0524848955512227,11.083409174384268,0.0933102430718632,-172.74615870828345,0.0630958522200881,-24.67013427501263,0.1533598709321948,1.2617081126775048e-07,1.0714749984276032e-07,0.9330734368138806,0.6308311900640577,-9.459862178954896e-23,3.2829171392892415e-13,4.2668452912386804e-13,4.831920993118598e-15,1.069926697405458e-13,-6.410595281600536e-05,4
HD157347,260.7139086841459,0.0449106644500383,-2.3886430877242515,0.04070458309095,50.85907332857054,0.0543786027477349,48.68675724390344,0.0855073282587876,-108.02433937935204,0.0714353678462391,-35.98164144122232,0.1734312990148891,1.247517404579991e-07,1.1306826753282774e-07,0.85506247708502,0.7143376558174801,2.292793415468372e-21,4.69092522154384e-13,4.106130661738263e-13,-7.770354108235286e-14,-1.782804645373691e-15,-4.4924003058794185e-06,16
HD157527,261.1750432401692,0.0611995083139565,-21.44159122332299,0.0530783129560883,9.855339557043688,0.0721082480058377,-16.74696978722201,0.1144882752969555,-25.45116729578457,0.0926202355448359,-52.65275107552435,0.1603468116721585,1.6999862647514038e-07,1.474397581959361e-07,1.1448512172477214,0.9261942290892088,9.847104197366448e-23,4.1775158280873474e-13,1.442958825295788e-13,-1.3918176894563936e-14,-3.3980814390453784e-15,-2.933803132106876e-05,33
HD157830,261.84052363741665,0.0480454995573162,-38.06150584810204,0.0458546835166983,32.14616654911233,0.051458199198325,-174.0826664366963,0.1050246692284464,-12.324556749103936,0.0849891865308927,-23.49165944919893,0.1548434781518368,1.3345970384274525e-07,1.2737411759272177e-07,1.0494356008069232,0.8498859617147219,-9.453843031271961e-24,2.3723377216904644e-12,6.527487896746424e-14,1.61769716105166e-13,8.055607181136715e-14,-6.824720447796476e-05,0
HD158469,262.8321269951505,0.0466171594698972,-39.16521111273597,0.0382760231507625,14.972587217208549,0.0524650804064296,-34.84275504726991,0.0878570143314994,23.24983749780668,0.0649208976680573,39.25491240823316,0.1628236789589453,1.294921091260033e-07,1.0632228629056505e-07,0.8785665518218456,0.6492081521672125,9.392346246860922e-24,2.0121403495812922e-14,-4.436439151750127e-15,-6.104353597844662e-15,4.970021031297305e-15,2.261812072531548e-06,1
HD158809,262.8546569238892,0.0485364469656288,-2.5392684738616285,0.0425002472186008,14.373475870499028,0.0449926139955549,-275.0692383574273,0.0966902884543229,-106.52826457623176,0.0801275493238594,4.337748227842299,0.2431969943017612,1.3482346133264053e-07,1.180562421537511e-07,0.9664313491758786,0.8012388789067597,-6.837665880500317e-23,7.279189254738905e-13,1.7687413124490948e-13,1.2379308347091374e-13,3.379873450832687e-14,-0.000230140780323,1
HD15906,38.27125344828291,0.0380733097830053,-10.352177973127237,0.034700780052174,21.919216180926785,0.0421368631576416,-172.77782941193712,0.076827379220361,-92.04192377300686,0.0691262677078938,-3.7230526268769495,0.1619815650232241,1.0575919145222961e-07,9.639105545329138e-08,0.7682428497411665,0.691257997916631,-7.975609381860567e-23,1.0455155458004293e-13,3.88531017664162e-14,2.5900495660121123e-14,1.0112705647371218e-14,-1.7451997693450766e-05,17
HD159194,263.7761335970091,0.0609573806102486,-38.799353639012864,0.0476571852329457,6.685488140323324,0.0495657424509114,-4.24898916275106,0.1140556770847249,27.2815207591155,0.0736975887490238,-3.39994275501153,0.1768045484866054,1.6932605239205856e-07,1.323810698708033e-07,1.1405410785783043,0.7369663675944634,1.781110518618825e-22,2.418882224902948e-13,-1.403588538882588e-13,-2.5164580065377654e-14,1.8210753885115153e-14,2.10599214448594e-05,33
HD15942,38.51597650947344,0.0398863822330792,12.180707624523274,0.0341262876837518,22.39166283629846,0.0416804289882269,183.71003215463304,0.087318512237147,-35.56162714683096,0.0797970791268319,33.9742793644537,0.1790085446794027,1.107954981481762e-07,9.479524310966926e-08,0.8730471272796166,0.7979510809662336,-3.918705386192904e-22,-6.554772840094823e-13,2.365660971705897e-13,-1.4393221277646797e-13,5.1791264834667886e-14,8.697161120023127e-05,33
HD160013,264.231632004149,0.0205168667216238,19.921983483510814,0.0341343973984128,22.72034458243821,0.0375439794989479,-101.95575084828704,0.0535543537404218,-84.60083718890901,0.0672685269621628,1.5160451982406675,0.1685383864952031,5.6991296036556287e-08,9.481777015812657e-08,0.5355199622422384,0.6726797889372075,5.911523423200916e-23,3.444565860268265e-14,1.8609742869434907e-14,-4.3345996713518385e-14,-2.342179878095993e-14,-1.364392245690166e-05,33
